,title,overview,len,ger
10684,Courage Under Fire,"A US Army officer had made a ""friendly fire"" mistake that was covered up and he was reassigned to a desk job. Later he was tasked to investigate a female chopper commander's worthiness to be awarded the Medal of Honor posthumously. At first all seemed in order then he begins to notice inconsistencies between the testimonies of the witnesses....",346,"Ein Offizier der US-Armee hatte einen ""Friendly Fire""-Fehler begangen, der vertuscht wurde, und er wurde auf einen Schreibtischjob versetzt. Später wird er beauftragt, zu prüfen, ob eine Hubschrauberpilotin posthum mit der Ehrenmedaille ausgezeichnet werden sollte. Zunächst schien alles in Ordnung zu sein, doch dann begann er, Ungereimtheiten zwischen den Aussagen der Zeugen zu bemerken...."
2493,The Princess Bride,"In this enchantingly cracked fairy tale, the beautiful Princess Buttercup and the dashing Westley must overcome staggering odds to find happiness amid six-fingered swordsmen, murderous princes, Sicilians and rodents of unusual size. But even death can't stop these true lovebirds from triumphing.",296,"In diesem zauberhaft verrückten Märchen müssen die schöne Prinzessin Butterblume und der schneidige Westley alle Widrigkeiten überwinden, um inmitten von Schwertkämpfern mit sechs Fingern, mörderischen Prinzen, Sizilianern und Nagetieren von ungewöhnlicher Größe ihr Glück zu finden. Doch selbst der Tod kann die beiden Verliebten nicht davon abhalten, zu triumphieren."
124459,The Incredible Burt Wonderstone,"After breaking up with his longtime stage partner, a famous but jaded Vegas magician fights for relevance when a new, ""hip"" street magician appears on the scene.",161,"Nachdem er sich von seinem langjährigen Bühnenpartner getrennt hat, kämpft ein berühmter, aber abgestumpfter Magier aus Las Vegas um seine Bedeutung, als ein neuer, ""hipper"" Straßenmagier auf der Bildfläche erscheint."
2501,The Bourne Identity,"Wounded to the brink of death and suffering from amnesia, Jason Bourne is rescued at sea by a fisherman. With nothing to go on but a Swiss bank account number, he starts to reconstruct his life, but finds that many people he encounters want him dead. Bourne realizes, though, that he has the combat and mental skills of a world-class spy, but who does he work for?",364,"Jason Bourne, der an Amnesie leidet, wird von einem Fischer aus dem Meer gerettet und ist dem Tode nahe. Mit nichts weiter als einer Schweizer Kontonummer beginnt er, sein Leben zu rekonstruieren, muss aber feststellen, dass viele Menschen, denen er begegnet, ihn tot sehen wollen. Bourne erkennt jedoch, dass er über die kämpferischen und mentalen Fähigkeiten eines Weltklasse-Spions verfügt, aber für wen arbeitet er?"
2502,The Bourne Supremacy,"When a CIA operation to purchase classified Russian documents is blown by a rival agent, who then shows up in the sleepy seaside village where Bourne and Marie have been living. The pair run for their lives and Bourne, who promised retaliation should anyone from his former life attempt contact, is forced to once again take up his life as a trained assassin to survive.",370,"Als eine CIA-Operation zum Erwerb geheimer russischer Dokumente von einem rivalisierenden Agenten vereitelt wird, taucht dieser in dem verschlafenen Küstendorf auf, in dem Bourne und Marie gelebt haben. Die beiden rennen um ihr Leben, und Bourne, der Vergeltung versprochen hat, sollte jemand aus seinem früheren Leben versuchen, Kontakt aufzunehmen, ist gezwungen, sein Leben als ausgebildeter Attentäter wieder aufzunehmen, um zu überleben."
2503,The Bourne Ultimatum,"Bourne is brought out of hiding once again by reporter Simon Ross who is trying to unveil Operation Blackbriar, an upgrade to Project Treadstone, in a series of newspaper columns. Information from the reporter stirs a new set of memories, and Bourne must finally uncover his dark past while dodging The Company's best efforts to eradicate him.",343,"Bourne wird erneut von dem Reporter Simon Ross aus seinem Versteck geholt, der in einer Reihe von Zeitungskolumnen versucht, die Operation Blackbriar, eine Erweiterung des Projekts Treadstone, zu enthüllen. Die Informationen des Reporters wecken neue Erinnerungen, und Bourne muss endlich seine dunkle Vergangenheit aufdecken, während er sich den Bemühungen der Firma entzieht, ihn auszulöschen."
146227,Getaway,"Former race car driver Brent Magna (Hawke) is pitted against the clock. Desperately trying to save the life of his kidnapped wife, Brent commandeers a custom Ford Shelby GT500 Super Snake, taking it and its unwitting owner (Gomez) on a high-speed race against time, at the command of the mysterious villain holding his wife hostage.",332,"Der ehemalige Rennfahrer Brent Magna (Hawke) kämpft gegen die Zeit. In dem verzweifelten Versuch, das Leben seiner entführten Frau zu retten, requiriert Brent einen Ford Shelby GT500 Super Snake und begibt sich mit dessen ahnungslosem Besitzer (Gomez) auf einen rasanten Wettlauf gegen die Zeit - auf Befehl des mysteriösen Bösewichts, der seine Frau als Geisel hält."
59859,Kick-Ass 2,"After Kick-Ass’ insane bravery inspires a new wave of self-made masked crusaders, he joins a patrol led by the Colonel Stars and Stripes. When these amateur superheroes are hunted down by Red Mist — reborn as The Mother F%&amp;*^r — only the blade-wielding Hit-Girl can prevent their annihilation.",297,"Nachdem Kick-Ass' verrückte Tapferkeit eine neue Welle von selbsternannten maskierten Kreuzrittern inspiriert hat, schließt er sich einer Patrouille an, die von Colonel Stars and Stripes angeführt wird. Als diese Amateur-Superhelden von Red Mist - wiedergeboren als The Mother F%&amp;*^r - gejagt werden, kann nur das klingenschwingende Hit-Girl ihre Auslöschung verhindern."
264660,Ex Machina,"Caleb, a 24 year old coder at the world's largest internet company, wins a competition to spend a week at a private mountain retreat belonging to Nathan, the reclusive CEO of the company. But when Caleb arrives at the remote location he finds that he will have to participate in a strange and fascinating experiment in which he must interact with the world's first true artificial intelligence, housed in the body of a beautiful robot girl.",440,"Caleb, ein 24-jähriger Programmierer bei der größten Internetfirma der Welt, gewinnt einen Wettbewerb, um eine Woche in einem privaten Berghaus zu verbringen, das Nathan, dem zurückgezogenen CEO der Firma, gehört. Doch als Caleb an dem abgelegenen Ort ankommt, muss er feststellen, dass er an einem seltsamen und faszinierenden Experiment teilnehmen muss, bei dem er mit der weltweit ersten echten künstlichen Intelligenz interagieren muss, die im Körper eines schönen Robotermädchens untergebracht ist."
59861,Larry Crowne,"After losing his job, a middle-aged man reinvents himself by going back to college.",83,"Nachdem er seinen Job verloren hat, erfindet sich ein Mann mittleren Alters neu, indem er wieder aufs College geht."
10715,Looney Tunes: Back In Action,"Bugs Bunny and Daffy Duck are up to their feuding ways again. Tired of playing second fiddle to Bugs, Daffy has decided to leave the Studio for good. He is aided by Warner Bros.' humor impaired Vice President of Comedy, Kate Houghton, who releases him from his contract and instructs WB security guard/aspiring stunt man DJ Drake to capture and ""escort"" Daffy off the studio lot.",379,"Bugs Bunny und Daffy Duck streiten sich mal wieder. Daffy ist es leid, die zweite Geige hinter Bugs zu spielen, und hat beschlossen, das Studio für immer zu verlassen. Unterstützt wird er dabei von Kate Houghton, der humorgeschädigten Vizepräsidentin für Comedy bei Warner Bros., die ihn aus seinem Vertrag entlässt und den WB-Sicherheitsmann und angehenden Stuntman DJ Drake anweist, Daffy einzufangen und vom Studiogelände zu ""eskortieren""."
10719,Elf,"When young Buddy falls into Santa's gift sack on Christmas Eve, he's transported back to the North Pole and raised as a toy-making elf by Santa's helpers. But as he grows into adulthood, he can't shake the nagging feeling that he doesn't belong. Buddy vows to visit Manhattan and find his real dad, a workaholic publisher.",322,"Als der kleine Buddy an Heiligabend in den Geschenkesack des Weihnachtsmanns fällt, wird er an den Nordpol zurückgebracht und von den Helfern des Weihnachtsmanns als Spielzeugmacher-Elfe aufgezogen. Doch als er erwachsen wird, wird er das nagende Gefühl nicht los, nicht dazuzugehören. Buddy schwört, Manhattan zu besuchen und seinen echten Vater, einen arbeitssüchtigen Verleger, zu finden."
254375,Hector and the Search for Happiness,A psychiatrist searches the globe to find the secret of happiness.,66,Ein Psychiater sucht rund um den Globus nach dem Geheimnis des Glücks.
10734,Escape from Alcatraz,A dramatization of the one possibly successful escape from the notorious prison.,80,Eine Dramatisierung des einzigen möglicherweise erfolgreichen Ausbruchs aus dem berüchtigten Gefängnis.
10735,What a Girl Wants,"An American girl, Daphne, heads to Europe in search of the father she's never met. But instead of finding a British version of her bohemian mother, she learns the love of her mom's life is an uptight politician. The only problem now is that her long-lost dad is engaged to a fiercely territorial social climber with a daughter who makes Daphne's life miserable.",361,"Die Amerikanerin Daphne reist nach Europa, um den Vater zu suchen, den sie nie kennengelernt hat. Doch anstatt eine britische Version ihrer unkonventionellen Mutter zu finden, erfährt sie, dass die Liebe ihres Lebens ein verklemmter Politiker ist. Das einzige Problem ist nun, dass ihr lang vermisster Vater mit einem territorialen Aufsteiger verlobt ist, dessen Tochter Daphne das Leben zur Hölle macht."
10747,The Outlaw Josey Wales,"After avenging his family's brutal murder, Wales is pursued by a pack of soldiers. He prefers to travel alone, but ragtag outcasts are drawn to him - and Wales can't bring himself to leave them unprotected.",206,"Nachdem er den brutalen Mord an seiner Familie gerächt hat, wird Wales von einer Gruppe von Soldaten verfolgt. Er zieht es vor, allein zu reisen, aber die zerlumpten Ausgestoßenen fühlen sich zu ihm hingezogen - und Wales kann es nicht über sich bringen, sie schutzlos zurückzulassen."
76285,Percy Jackson: Sea of Monsters,"In their quest to confront the ultimate evil, Percy and his friends battle swarms of mythical creatures to find the mythical Golden Fleece and to stop an ancient evil from rising.",179,"Auf ihrer Suche nach dem ultimativen Bösen kämpfen Percy und seine Freunde gegen Schwärme von Fabelwesen, um das Goldene Vlies zu finden und ein uraltes Übel aufzuhalten."
18947,The Boat That Rocked,"The Boat that Rocked is an ensemble comedy, where the romance is between the young people of the 60s, and pop music. It's about a band of DJs that captivate Britain, playing the music that defines a generation and standing up to a government that, incomprehensibly, prefers jazz.",279,"The Boat that Rocked ist eine Ensemble-Komödie, in der es um eine Romanze zwischen den jungen Leuten der 60er Jahre und der Popmusik geht. Es geht um eine Band von DJs, die Großbritannien in ihren Bann ziehen, indem sie die Musik spielen, die eine Generation definiert und sich gegen eine Regierung behaupten, die unverständlicherweise Jazz bevorzugt."
10756,The Haunted Mansion,"Workaholic Jim Evers, his wife/business partner Sara Evers get a call one night from a mansion owner named Edward Gracey wants to sell his house. Once the Evers family arrive at the mansion a butler named ramsley takes them to dine with Master Gracey. Master Gracey takes one look at Sara and he thinks she's his lost lover. The evers family are trapped in the mansion. Then the magic begins.",392,"Der Workaholic Jim Evers und seine Frau und Geschäftspartnerin Sara Evers erhalten eines Nachts einen Anruf von einem Villenbesitzer namens Edward Gracey, der sein Haus verkaufen möchte. Als die Familie Evers in der Villa ankommt, werden sie von einem Butler namens Ramsley zu einem Abendessen mit Master Gracey eingeladen. Meister Gracey wirft einen Blick auf Sara und hält sie für seine verlorene Geliebte. Die Familie Evers ist im Herrenhaus gefangen. Dann beginnt die Magie."
